Volcano Number,Volcano Name,Primary Volcano Type,Last Eruption Year,Country,Region,Subregion,Latitude,Longitude,Elevation,Tectonic Settings,Evidence Category,Major Rock 1,Major Rock 2,Major Rock 3,Major Rock 4,Major Rock 5,Minor Rock 1,Minor Rock 2,Minor Rock 3,Minor Rock 4,Minor Rock 5,Population within 5 km,Population within 10 km,Population within 30 km,Population within 100 km
211003,Molino,Cone of Vulsini,,,,,,,,,,,,,,,,,,,,,,,
264040,Molo,Cone of Tambora,,,,,,,,,,,,,,,,,,,,,,,
300210,Molodoi,Stratovolcano of Gamchen,,,,,,,,,,,,,,,,,,,,,,,
300180,Molodoi Kikhpinych,Synonym of Kikhpinych,,,,,,,,,,,,,,,,,,,,,,,
300190,Molodoy,Vent of Krasheninnikov,,,,,,,,,,,,,,,,,,,,,,,
300270,Molodoy Sheveluch,Dome of Sheveluch,,,,,,,,,,,,,,,,,,,,,,,
332060,Molokini Islet,Tuff cone of Haleakala,,,,,,,,,,,,,,,,,,,,,,,
344110,Mombacho,Stratovolcano,Unknown,Nicaragua,México and Central America,Nicaragua,11.826,-85.968,1344,Subduction zone / Continental crust (>25 km),Unrest / Holocene,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,656,56671,621451,2709304
344090,"Momotombito, Volcán",Lava cone of Momotombo,,,,,,,,,,,,,,,,,,,,,,,
344090,Momotombo,Stratovolcano,2016,Nicaragua,México and Central America,Nicaragua,12.423,-86.539,1270,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,100,1851,98583,3569021
382110,Monaco Bank,Submarine,1911,Portugal,Atlantic Ocean,Azores,37.6,-25.88,-197,Rift zone / Oceanic crust (< 15 km),Eruption Observed,No Data (checked), , , , , , , , , ,0,0,70224,139971
211071,Monastero,Shield volcano of Pantelleria,,,,,,,,,,,,,,,,,,,,,,,
211071,Monastero,Synonym of Cinque Denti,,,,,,,,,,,,,,,,,,,,,,,
300100,Monastyr,Cone of Avachinsky,,,,,,,,,,,,,,,,,,,,,,,
300100,Monastyr,Synonym of Avachinsky,,,,,,,,,,,,,,,,,,,,,,,
357050,Mondaca,Synonym of Lengua de Vulcano,,,,,,,,,,,,,,,,,,,,,,,
259010,Mondilibi,Vent of Newer Volcanics Province,,,,,,,,,,,,,,,,,,,,,,,
211060,Mongibello,Shield volcano of Etna,,,,,,,,,,,,,,,,,,,,,,,
211060,Mongibello,Synonym of Etna,,,,,,,,,,,,,,,,,,,,,,,
222120,Mongogogura,"Synonym of Lengai, Ol Doinyo",,,,,,,,,,,,,,,,,,,,,,,
224010,Mongo-ma-loba,Synonym of Cameroon,,,,,,,,,,,,,,,,,,,,,,,
223040,Mongomane,Cone of Karisimbi,,,,,,,,,,,,,,,,,,,,,,,
342170,"Mongoy, Cerro",Pyroclastic cone of Chingo,,,,,,,,,,,,,,,,,,,,,,,
342030,"Monje, El",Vent of Santa Maria,,,,,,,,,,,,,,,,,,,,,,,
250010,Monkul,Cone of St. Andrew Strait,,,,,,,,,,,,,,,,,,,,,,,
341110,"Mono Blanco, Cerro",Pyroclastic cone of San Martín,,,,,,,,,,,,,,,,,,,,,,,
323110,Mono Lake Islands,Synonym of Mono Lake Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
323110,Mono Lake Volcanic Field,Pyroclastic cone(s),1790,United States,Canada and Western USA,USA (California),38,-119.03,2121,Rift zone / Continental crust (>25 km),Eruption Dated,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , , ,1066,1066,1491,65028
323120,Mono-Inyo Craters,Lava dome(s),1380,United States,Canada and Western USA,USA (California),37.804,-119.029,2796,Rift zone / Continental crust (>25 km),Eruption Dated,Rhyolite, , , , ,Dacite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , ,558,7393,9048,82160
331030,Monolith Vent,Thermal of Cleft Segment,,,,,,,,,,,,,,,,,,,,,,,
244030,Monono Island,Lava cone of Upolu,,,,,,,,,,,,,,,,,,,,,,,
224030,"Monoun, Lake",Maar of Oku Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
242050,Monowai,Submarine,2012,New Zealand,New Zealand to Fiji,Tonga Islands,-25.887,-177.188,-132,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
211060,Monpeloso,Pyroclastic cone of Etna,,,,,,,,,,,,,,,,,,,,,,,
211060,"Monpilieri, Monte",Pyroclastic cone of Etna,,,,,,,,,,,,,,,,,,,,,,,
211060,Mons Gibel Utlamat,Synonym of Etna,,,,,,,,,,,,,,,,,,,,,,,
357030,"Monserrat, Cerro",Stratovolcano of Tinguiririca,,,,,,,,,,,,,,,,,,,,,,,
211060,"Montagnola, La",Pyroclastic cone of Etna,,,,,,,,,,,,,,,,,,,,,,,
211030,Montagnone-Maschiata,Dome of Ischia,,,,,,,,,,,,,,,,,,,,,,,
390081,Montagu Island,Shield,2007,United Kingdom,Antarctica,Antarctica and South Sandwich Islands,-58.445,-26.374,1370,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Basalt / Picro-Basalt, , , , , , , , , ,0,0,0,0
382020,Montanha,Stratovolcano of Pico,,,,,,,,,,,,,,,,,,,,,,,
345030,"Montanosa, Cerro la",Stratovolcano of Miravalles,,,,,,,,,,,,,,,,,,,,,,,
210020,"Montchal, Puy de",Cone of Chaine des Puys,,,,,,,,,,,,,,,,,,,,,,,
210020,"Montchatre, Maar de",Maar of Chaine des Puys,,,,,,,,,,,,,,,,,,,,,,,
210020,"Montchier, Puy",Cone of Chaine des Puys,,,,,,,,,,,,,,,,,,,,,,,
210020,"Montcineyre, Puy de",Cone of Chaine des Puys,,,,,,,,,,,,,,,,,,,,,,,
344133,"Monte, Cerro de","Dome of Lajas, Las",,,,,,,,,,,,,,,,,,,,,,,
211071,"Monte, Cuddia del",Cone of Pantelleria,,,,,,,,,,,,,,,,,,,,,,,
211003,Montefiascone,Cone of Vulsini,,,,,,,,,,,,,,,,,,,,,,,
210020,"Montenard, Puy de",Cone of Chaine des Puys,,,,,,,,,,,,,,,,,,,,,,,
211042,Monterosa,Pyroclastic cone of Lipari,,,,,,,,,,,,,,,,,,,,,,,
345031,"Montezuma, Cerro",Stratovolcano of Tenorio,,,,,,,,,,,,,,,,,,,,,,,
210020,"Montgy, Puy de",Cone of Chaine des Puys,,,,,,,,,,,,,,,,,,,,,,,
211010,Monticelli,Crater of Campi Flegrei,,,,,,,,,,,,,,,,,,,,,,,
341020,Montículo Cinerítico,Tuff cone of Bárcena,,,,,,,,,,,,,,,,,,,,,,,
211003,"Montione, Mount",Cone of Vulsini,,,,,,,,,,,,,,,,,,,,,,,
210020,"Montjugeat, Puy de",Cone of Chaine des Puys,,,,,,,,,,,,,,,,,,,,,,,
210030,"Montolivet, Volcà",Cone of Olot Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
358010,Monton de Trigo,Crater of Osorno,,,,,,,,,,,,,,,,,,,,,,,
344100,"Montoso, Cerro",Pyroclastic cone of Masaya,,,,,,,,,,,,,,,,,,,,,,,
344040,"Montoso, Cerro",Cone of Telica,,,,,,,,,,,,,,,,,,,,,,,
344090,"Montoso, Cerro",Stratovolcano of Momotombo,,,,,,,,,,,,,,,,,,,,,,,
210030,"Montsacopa, Volcà",Cone of Olot Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
259010,"Moolort, Mount",Cone of Newer Volcanics Province,,,,,,,,,,,,,,,,,,,,,,,
341001,Moon Crater,Maar of Pinacate,,,,,,,,,,,,,,,,,,,,,,,
259010,"Moorookyle, Mount",Cone of Newer Volcanics Province,,,,,,,,,,,,,,,,,,,,,,,
223004,Morabu,Crater of Bunyaruguru,,,,,,,,,,,,,,,,,,,,,,,
357066,Morado,Pyroclastic cone of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
357066,"Morados Grandes, Los",Cone of Payun Matru,,,,,,,,,,,,,,,,,,,,,,,
320060,Moraine,Cone of Edziza,,,,,,,,,,,,,,,,,,,,,,,
252030,"More, Crater",Crater of Garove,,,,,,,,,,,,,,,,,,,,,,,
345034,"Morera, Loma",Pyroclastic cone of Platanar,,,,,,,,,,,,,,,,,,,,,,,
233020,"Morgabim, Piton","Pyroclastic cone of Fournaise, Piton de la",,,,,,,,,,,,,,,,,,,,,,,
323080,Morgan Hot Springs,Hot Spring of Lassen Volcanic Center,,,,,,,,,,,,,,,,,,,,,,,
390017,Morning,Shield,Unknown,Antarctica,Antarctica,Antarctica and South Sandwich Islands,-78.5,163.53,2723,Intraplate / Continental crust (>25 km),Evidence Uncertain,Basalt / Picro-Basalt,Phonolite,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, ,Trachyte / Trachydacite, , , , ,0,0,0,0
268030,Moro,Crater of Ibu,,,,,,,,,,,,,,,,,,,,,,,
211071,"Moro, Cuddia del",Shield volcano of Pantelleria,,,,,,,,,,,,,,,,,,,,,,,
357150,Morro,Thermal of Puyehue-Cordon Caulle,,,,,,,,,,,,,,,,,,,,,,,
357030,Morro de Azufre,Synonym of Tinguiririca,,,,,,,,,,,,,,,,,,,,,,,
383060,Morro de las Atalayas,Cone of Lanzarote,,,,,,,,,,,,,,,,,,,,,,,
358010,"Morro, El",Crater of Osorno,,,,,,,,,,,,,,,,,,,,,,,
210040,"Mortero, El",Maar of Calatrava Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
352050,Morucu,Dome of Cotopaxi,,,,,,,,,,,,,,,,,,,,,,,
312010,Morzhovoi,Stratovolcano of Frosty,,,,,,,,,,,,,,,,,,,,,,,
382090,Mos,Cone of Agua de Pau,,,,,,,,,,,,,,,,,,,,,,,
290380,Mosakiri-yama,Synonym of Ebeko,,,,,,,,,,,,,,,,,,,,,,,
210010,Mosbruch,Maar of West Eifel Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
210010,Mosenberg,Cone of West Eifel Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
311360,Moses,Synonym of Shishaldin,,,,,,,,,,,,,,,,,,,,,,,
390028,"Moses, Mount",Stratovolcano of Hudson Mountains,,,,,,,,,,,,,,,,,,,,,,,
300001,Moshkovskaya,Synonym of Mashkovtsev,,,,,,,,,,,,,,,,,,,,,,,
273088,"Mosimus, Mount",Twin volcano of Ambalatungan Group,,,,,,,,,,,,,,,,,,,,,,,
320150,Mosquito Mound,Tuya of Wells Gray-Clearwater,,,,,,,,,,,,,,,,,,,,,,,
360090,Mosquito Mountain,"Dome of Diablotins, Morne",,,,,,,,,,,,,,,,,,,,,,,
343051,"Mosquito, Cerro el","Pyroclastic cone of Cinotepeque, Cerro",,,,,,,,,,,,,,,,,,,,,,,
383030,"Mostaza, Montaña",Pyroclastic cone of Tenerife,,,,,,,,,,,,,,,,,,,,,,,
257001,Mota Lava,Synonym of Motlav,,,,,,,,,,,,,,,,,,,,,,,
344092,"Motastepe, Cerro",Pyroclastic cone of Nejapa-Miraflores,,,,,,,,,,,,,,,,,,,,,,,
312110,Mother Goose,Thermal of Chiginagak,,,,,,,,,,,,,,,,,,,,,,,
252140,"Mother, The",Synonym of Kombiu,,,,,,,,,,,,,,,,,,,,,,,
331010,Mothra,Thermal of Endeavour Segment,,,,,,,,,,,,,,,,,,,,,,,
268063,Moti,Stratovolcano,Unknown,Indonesia,Indonesia,Halmahera,0.454,127.411,927,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite,Basalt / Picro-Basalt, , , , , , , , ,3190,5051,89568,462393
268063,Motir,Synonym of Moti,,,,,,,,,,,,,,,,,,,,,,,
257001,Motlav,Stratovolcano,Unknown,Vanuatu,Melanesia and Australia,Vanuatu,-13.67,167.67,411,Subduction zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,251,292,3768,7490
251050,Motmot,Cone of Long Island,,,,,,,,,,,,,,,,,,,,,,,
290070,Motonupuri,Cone of Etorofu-Yakeyama [Grozny Group],,,,,,,,,,,,,,,,,,,,,,,
283120,Motoshiranesan,Cone of Kusatsu-Shiranesan,,,,,,,,,,,,,,,,,,,,,,,
284120,Motoyama,Stratovolcano of Ioto,,,,,,,,,,,,,,,,,,,,,,,
284120,Moto-yama,Synonym of Motoyama,,,,,,,,,,,,,,,,,,,,,,,
243110,Motu Lahi,Cone of Niuafo'ou,,,,,,,,,,,,,,,,,,,,,,,
243110,Motu Molimoli,Cone of Niuafo'ou,,,,,,,,,,,,,,,,,,,,,,,
241070,Motuapu,Dome of Taupo,,,,,,,,,,,,,,,,,,,,,,,
241070,Motukaiko,Dome of Taupo,,,,,,,,,,,,,,,,,,,,,,,
241020,Motukorea,Cone of Auckland Field,,,,,,,,,,,,,,,,,,,,,,,
241070,Motuma,Dome of Taupo,,,,,,,,,,,,,,,,,,,,,,,
243140,Motutahi,Cone of Niuatahi,,,,,,,,,,,,,,,,,,,,,,,
333030,Moua Pihaa,Submarine,1970,France,Hawaii and Pacific Ocean,Pacific Ocean (central),-18.325,-148.525,-312,Intraplate / Oceanic crust (< 15 km),Eruption Dated,Trachybasalt / Tephrite Basanite, , , , , , , , , ,0,0,0,17065
242030,Moumoukai,Stratovolcano of Raoul Island,,,,,,,,,,,,,,,,,,,,,,,
332040,Mouna Huararai,Synonym of Hualalai,,,,,,,,,,,,,,,,,,,,,,,
311180,Moundhill,Lava cone of Seguam,,,,,,,,,,,,,,,,,,,,,,,
360110,Mountain Top,"Dome of Plat Pays, Morne",,,,,,,,,,,,,,,,,,,,,,,
221123,Mousa Alli,Stratovolcano,Unknown,Ethiopia-Eritrea-Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,12.469,42.404,1993,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt,Rhyolite,Trachyte / Trachydacite, , , , , , , ,132,1148,11607,201977
225020,"Mousgou, Ehi","Stratovolcano of Voon, Tarso",,,,,,,,,,,,,,,,,,,,,,,
221123,Moussa Alli,Synonym of Mousa Alli,,,,,,,,,,,,,,,,,,,,,,,
233020,"Moustabismen, Piton de","Pyroclastic cone of Fournaise, Piton de la",,,,,,,,,,,,,,,,,,,,,,,
332020,Mowna Roa,Synonym of Mauna Loa,,,,,,,,,,,,,,,,,,,,,,,
332040,Mowna Worrarar,Synonym of Hualalai,,,,,,,,,,,,,,,,,,,,,,,
221250,Moye,Synonym of Tullu Moje,,,,,,,,,,,,,,,,,,,,,,,
290100,Moyorodake,Stratovolcano of Moyorodake [Medvezhia],,,,,,,,,,,,,,,,,,,,,,,
290100,Moyoro-dake,Synonym of Moyorodake,,,,,,,,,,,,,,,,,,,,,,,
290100,Moyorodake [Medvezhia],Stratovolcano,1999,Japan - administered by Russia,Kuril Islands,Kuril Islands,45.389,148.838,1124,Subduction zone / Intermediate crust (15-25 km),Eruption Observed,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite,Rhyolite, , , , , , ,11,42,600,4333
344020,"Moyotepe, Cerro",Stratovolcano of San Cristobal (Nicaragua),,,,,,,,,,,,,,,,,,,,,,,
342130,Moyuta,Stratovolcano,Unknown,Guatemala,México and Central America,Guatemala,14.03,-90.1,1662,Subduction zone / Continental crust (>25 km),Evidence Credible,Andesite / Basaltic Andesite, , , , ,Basalt / Picro-Basalt,Dacite, , , ,3457,15469,394687,7064437
244040,Muaga Mua,Synonym of Mauga Afi,,,,,,,,,,,,,,,,,,,,,,,
222130,Mubonyakya,Cone of Chyulu Hills,,,,,,,,,,,,,,,,,,,,,,,
253041,Mud Bay,Cone of Goodenough,,,,,,,,,,,,,,,,,,,,,,,
211071,"Mueggen, Cuddia",Shield volcano of Pantelleria,,,,,,,,,,,,,,,,,,,,,,,
344111,"Muerto, Isla el",Cone of Zapatera,,,,,,,,,,,,,,,,,,,,,,,
355130,"Muerto, Volcán el","Stratovolcano of Ojos del Salado, Nevados",,,,,,,,,,,,,,,,,,,,,,,
223030,Mugara,Cone of Nyiragongo,,,,,,,,,,,,,,,,,,,,,,,
223050,Mugogo,Cone of Visoke,,,,,,,,,,,,,,,,,,,,,,,
223060,Muhabura,Synonym of Muhavura,,,,,,,,,,,,,,,,,,,,,,,
223060,Muhavura,Stratovolcano,Unknown,Uganda-Rwanda,Africa and Red Sea,Africa (central),-1.383,29.678,4103,Rift zone / Continental crust (>25 km),Evidence Credible,Trachybasalt / Tephrite Basanite,Trachyandesite / Basaltic Trachyandesite, , , , , , , , ,10680,197162,1189226,10833809
223060,Muhavuru,Synonym of Muhavura,,,,,,,,,,,,,,,,,,,,,,,
210010,Muhlenberg,Cone of West Eifel Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
223001,Muhoti,Tuff cone of Fort Portal,,,,,,,,,,,,,,,,,,,,,,,
223020,Muhuboli,Vent of Nyamuragira,,,,,,,,,,,,,,,,,,,,,,,
259010,"Muirhead, Mount",Cone of Newer Volcanics Province,,,,,,,,,,,,,,,,,,,,,,,
223030,Muja,Cone of Nyiragongo,,,,,,,,,,,,,,,,,,,,,,,
284020,Mukai-yama,Dome of Niijima,,,,,,,,,,,,,,,,,,,,,,,
284020,Muko-yama,Synonym of Mukai-yama,,,,,,,,,,,,,,,,,,,,,,,
222056,Mukuani Hill,Dome of Nyambeni Hills,,,,,,,,,,,,,,,,,,,,,,,
357050,"Mulas, Alto de las",Fissure vent of Descabezado Grande,,,,,,,,,,,,,,,,,,,,,,,
382080,Mulata,Cone of Sete Cidades,,,,,,,,,,,,,,,,,,,,,,,
360050,Mulcares Soufriere,Fumarole of Soufriere Hills,,,,,,,,,,,,,,,,,,,,,,,
223040,Mulderi,Crater of Karisimbi,,,,,,,,,,,,,,,,,,,,,,,
322150,Mule Mountain,Dome of Cinnamon Butte,,,,,,,,,,,,,,,,,,,,,,,
344070,"Mule, Cerro la","Pyroclastic cone of Negro, Cerro",,,,,,,,,,,,,,,,,,,,,,,
244040,Mulimauga,Cone of Savai'i,,,,,,,,,,,,,,,,,,,,,,,
211003,Mulino De Valentano,Cone of Vulsini,,,,,,,,,,,,,,,,,,,,,,,
323200,Mullet Island,Dome of Salton Buttes,,,,,,,,,,,,,,,,,,,,,,,
264240,Mulukroko,Synonym of Ilitebulele,,,,,,,,,,,,,,,,,,,,,,,
372070,Mundafell,Fissure vent of Hekla,,,,,,,,,,,,,,,,,,,,,,,
372070,Mundagigar,Synonym of Mundafell,,,,,,,,,,,,,,,,,,,,,,,
222053,Mundi,Cone of Paka,,,,,,,,,,,,,,,,,,,,,,,
351100,Mundo Nueva,Crater of Cumbal,,,,,,,,,,,,,,,,,,,,,,,
353120,"Mundo, Cerro",Cone of San Cristobal (Ecuador),,,,,,,,,,,,,,,,,,,,,,,
252021,Mundua,Complex,Unknown,Papua New Guinea,Melanesia and Australia,New Britain,-4.63,149.35,179,Subduction zone / Continental crust (>25 km),Evidence Credible,Basalt / Picro-Basalt, , , , , , , , , ,489,501,6406,9419
302030,Munduzhyak,Dome of Udokan Plateau,,,,,,,,,,,,,,,,,,,,,,,
263290,"Mungker, Gunung",Cone of Arjuno-Welirang,,,,,,,,,,,,,,,,,,,,,,,
222120,Mungogo wa Bogwe,"Synonym of Lengai, Ol Doinyo",,,,,,,,,,,,,,,,,,,,,,,
224010,Mungo-ma-loba,Synonym of Cameroon,,,,,,,,,,,,,,,,,,,,,,,
252010,Munlulu,Crater of Langila,,,,,,,,,,,,,,,,,,,,,,,
252010,"Munlulu, Mount",Cone of Langila,,,,,,,,,,,,,,,,,,,,,,,
223040,Muntango,Pit crater of Karisimbi,,,,,,,,,,,,,,,,,,,,,,,
223003,Munyanyangi,Tuff cone of Katwe-Kikorongo,,,,,,,,,,,,,,,,,,,,,,,
223040,Munyinya,Crater of Karisimbi,,,,,,,,,,,,,,,,,,,,,,,
223004,Murambe,Crater of Bunyaruguru,,,,,,,,,,,,,,,,,,,,,,,
223020,Murara,Cone of Nyamuragira,,,,,,,,,,,,,,,,,,,,,,,
382100,"Murcondas, Pica das","Synonym of Marcondas, Pica das",,,,,,,,,,,,,,,,,,,,,,,
390050,Murdoch,Cone of Seal Nunataks Group,,,,,,,,,,,,,,,,,,,,,,,
263251,Muria,Stratovolcano,-160,Indonesia,Indonesia,Java,-6.62,110.88,1625,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Phonolite,Trachyte / Trachydacite,Trachybasalt / Tephrite Basanite, , , , , ,212,7653,1587867,13061031
263251,Muriah,Synonym of Muria,,,,,,,,,,,,,,,,,,,,,,,
222030,Murniau,"Tuff cone of Barrier, The",,,,,,,,,,,,,,,,,,,,,,,
353050,Muro de las Lagrimas,"Pyroclastic cone of Negra, Sierra",,,,,,,,,,,,,,,,,,,,,,,
222053,Muruese,Cone of Paka,,,,,,,,,,,,,,,,,,,,,,,
223003,Murumuli,Maar of Katwe-Kikorongo,,,,,,,,,,,,,,,,,,,,,,,
221123,Musa Ali,Synonym of Mousa Alli,,,,,,,,,,,,,,,,,,,,,,,
223040,Musanula,Cone of Karisimbi,,,,,,,,,,,,,,,,,,,,,,,
234001,Museau De Tanche,Cone of Amsterdam Island,,,,,,,,,,,,,,,,,,,,,,,
302040,Mushketova (Mushketov),Pyroclastic cone of Vitim Plateau,,,,,,,,,,,,,,,,,,,,,,,
223030,Mushushwe,Cone of Nyiragongo,,,,,,,,,,,,,,,,,,,,,,,
223050,Muside,Cone of Visoke,,,,,,,,,,,,,,,,,,,,,,,
224010,Musonge,Cone of Cameroon,,,,,,,,,,,,,,,,,,,,,,,
221123,Mussa-ali,Synonym of Mousa Alli,,,,,,,,,,,,,,,,,,,,,,,
271070,Musuan,Lava dome,1886,Philippines,Philippines and SE Asia,Mindanao,7.877,125.068,646,Subduction zone / Continental crust (>25 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,67591,134114,517243,6198562
382081,Muta do Leal,Cone of Picos Volcanic System,,,,,,,,,,,,,,,,,,,,,,,
261050,"Mutelong, Bur","Synonym of Telong, Bur ni",,,,,,,,,,,,,,,,,,,,,,,
223030,Muti,Cone of Nyiragongo,,,,,,,,,,,,,,,,,,,,,,,
300060,"Mutnaia, Sopka",Synonym of Mutnovsky,,,,,,,,,,,,,,,,,,,,,,,
300060,"Mutnaja, Sopka",Synonym of Mutnovsky,,,,,,,,,,,,,,,,,,,,,,,
300060,"Mutnovskaia, Sopka",Synonym of Mutnovsky,,,,,,,,,,,,,,,,,,,,,,,
300060,Mutnovsky,Complex,2000,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,52.449,158.196,2288,Subduction zone / Continental crust (>25 km),Eruption Observed,Basalt / Picro-Basalt, , , , ,Andesite / Basaltic Andesite,Dacite, , , ,0,0,97,250858
300060,Mutnowskij,Synonym of Mutnovsky,,,,,,,,,,,,,,,,,,,,,,,
222130,Mutonaju,Cone of Chyulu Hills,,,,,,,,,,,,,,,,,,,,,,,
223030,Mutsa,Synonym of Muja,,,,,,,,,,,,,,,,,,,,,,,
264140,Mutu,Synonym of Kelimutu,,,,,,,,,,,,,,,,,,,,,,,
223020,Muvo,Cone of Nyamuragira,,,,,,,,,,,,,,,,,,,,,,,
225060,Muweilih,Crater of Bayuda Volcanic Field,,,,,,,,,,,,,,,,,,,,,,,
222130,Mwailo,Cone of Chyulu Hills,,,,,,,,,,,,,,,,,,,,,,,
282130,Myoban,Thermal of Yufu-Tsurumi,,,,,,,,,,,,,,,,,,,,,,,
371020,Myoe,Synonym of Nyey,,,,,,,,,,,,,,,,,,,,,,,
283030,Myoga-take,Cone of Fujisan,,,,,,,,,,,,,,,,,,,,,,,
284050,Myohoji,Cone of Hachijojima,,,,,,,,,,,,,,,,,,,,,,,
284061,Myojin Knoll,Synonym of Kita-Bayonnaise,,,,,,,,,,,,,,,,,,,,,,,
284070,Myojinsho,Dome of Myojinsho,,,,,,,,,,,,,,,,,,,,,,,
284070,Myojinsho,Caldera of Myojinsho,,,,,,,,,,,,,,,,,,,,,,,
284070,Myojinsho,Submarine,1970,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",31.888,139.918,11,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite,Dacite,Rhyolite, , , , , , , ,0,0,0,242
284070,Myojin-sho,Synonym of Myojinsho,,,,,,,,,,,,,,,,,,,,,,,
282100,Myoken-dake,Stratovolcano of Unzendake,,,,,,,,,,,,,,,,,,,,,,,
282100,Myoken-dake,Dome of Unzendake,,,,,,,,,,,,,,,,,,,,,,,
283100,Myoko,Synonym of Myokosan,,,,,,,,,,,,,,,,,,,,,,,
283240,Myoko-dake,Stratovolcano of Iwatesan,,,,,,,,,,,,,,,,,,,,,,,
283100,Myokosan,Stratovolcano,-750,Japan,"Japan, Taiwan, Marianas",Honshu,36.891,138.114,2454,Subduction zone / Continental crust (>25 km),Eruption Dated,Andesite / Basaltic Andesite,Basalt / Picro-Basalt,Dacite, , , , , , , ,1563,11033,561142,4118863
283100,Myokosan,Dome of Myokosan,,,,,,,,,,,,,,,,,,,,,,,
283030,Myoko-san,Synonym of Fujisan,,,,,,,,,,,,,,,,,,,,,,,
290100,Myoro-dake,Synonym of Moyorodake,,,,,,,,,,,,,,,,,,,,,,,
284070,Myozin-syo,Synonym of Myojinsho,,,,,,,,,,,,,,,,,,,,,,,
372030,Myrdalsjokull,Synonym of Katla,,,,,,,,,,,,,,,,,,,,,,,
372030,Myrdalsjökull,Stratovolcano of Katla,,,,,,,,,,,,,,,,,,,,,,,
342130,"Myriam, Volcán",Stratovolcano of Moyuta,,,,,,,,,,,,,,,,,,,,,,,
373080,Myvatnseldar,Crater Row of Krafla,,,,,,,,,,,,,,,,,,,,,,,
373060,Myvetningahraun,Fissure vent of Askja,,,,,,,,,,,,,,,,,,,,,,,
332010,Na Puu O Na Elemakule,Cone of Kilauea,,,,,,,,,,,,,,,,,,,,,,,
221101,Nabbeo,Synonym of Nabro,,,,,,,,,,,,,,,,,,,,,,,
282030,Nabedao,Stratovolcano of Suwanosejima,,,,,,,,,,,,,,,,,,,,,,,
261090,Nabelberg,Synonym of Pusukbukit,,,,,,,,,,,,,,,,,,,,,,,
283220,Nabemori,Dome of Chokaisan,,,,,,,,,,,,,,,,,,,,,,,
282070,Nabeshimadake,Dome of Ata,,,,,,,,,,,,,,,,,,,,,,,
282080,Nabeyama,Cone of Aira,,,,,,,,,,,,,,,,,,,,,,,
282080,Nabe-yama,Synonym of Nabeyama,,,,,,,,,,,,,,,,,,,,,,,
283001,Nabe-yama,Dome of Abu,,,,,,,,,,,,,,,,,,,,,,,
222030,Naboiyoton,Synonym of Nabuyatom,,,,,,,,,,,,,,,,,,,,,,,
221101,Nabro,Stratovolcano,2012,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,13.37,41.7,2218,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt,Rhyolite,Trachyte / Trachydacite, , , , , , , ,24,145,2713,26881
223003,Nabugando,Tuff cone of Katwe-Kikorongo,,,,,,,,,,,,,,,,,,,,,,,
245030,Nabukelevu,Lava dome(s),1660,Fiji,New Zealand to Fiji,Fiji Islands,-19.12,177.98,805,Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite,Dacite, , , , , , , , ,269,1379,4523,21730
222030,Nabuyatom,"Tuff cone of Barrier, The",,,,,,,,,,,,,,,,,,,,,,,
343052,"Nacanze, Cerro","Synonym of Macanze, Cerro",,,,,,,,,,,,,,,,,,,,,,,
273083,Nacolcol,Thermal of Pinatubo,,,,,,,,,,,,,,,,,,,,,,,
