,battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
49,1454.0,1.0,0.5,1.0,1.0,0.0,34.0,0.7,83.0,4.0,3.0,250.0,1033.0,3419.0,7.0,5.0,5.0,1.0,1.0,0.0,3.0
50,591.0,1.0,0.5,1.0,1.0,1.0,16.0,0.9,90.0,6.0,17.0,892.0,1603.0,3746.0,5.0,0.0,5.0,1.0,1.0,0.0,3.0
51,1058.0,0.0,,0.0,,,44.0,0.8,185.0,5.0,,1528.0,1985.0,,18.0,4.0,9.0,0.0,,0.0,
52,1614.0,0.0,1.9,0.0,8.0,1.0,55.0,0.3,188.0,3.0,17.0,860.0,1330.0,3914.0,17.0,13.0,13.0,1.0,0.0,0.0,3.0
53,1109.0,1.0,2.8,1.0,6.0,0.0,57.0,0.9,151.0,1.0,12.0,124.0,833.0,2785.0,15.0,10.0,16.0,1.0,0.0,0.0,2.0
54,557.0,0.0,0.5,1.0,3.0,0.0,17.0,0.2,89.0,6.0,4.0,322.0,710.0,2623.0,17.0,16.0,16.0,0.0,0.0,0.0,1.0
55,1432.0,1.0,1.7,1.0,6.0,1.0,39.0,0.3,164.0,4.0,18.0,209.0,947.0,504.0,14.0,4.0,10.0,1.0,1.0,0.0,0.0
56,1698.0,0.0,2.5,0.0,10.0,1.0,26.0,0.4,105.0,2.0,18.0,485.0,1819.0,1656.0,5.0,3.0,17.0,1.0,0.0,1.0,2.0
57,1270.0,1.0,0.6,1.0,2.0,1.0,32.0,0.5,101.0,7.0,6.0,299.0,845.0,3770.0,5.0,3.0,13.0,1.0,1.0,0.0,3.0
58,793.0,1.0,2.8,1.0,1.0,1.0,64.0,0.4,179.0,4.0,2.0,818.0,1006.0,2296.0,12.0,0.0,5.0,1.0,1.0,0.0,1.0
59,1800.0,0.0,1.4,1.0,14.0,0.0,40.0,0.2,146.0,5.0,10.0,1229.0,1553.0,2853.0,7.0,5.0,10.0,0.0,0.0,,0.0
60,1890.0,0.0,1.1,0.0,4.0,1.0,48.0,0.5,127.0,4.0,5.0,1438.0,1832.0,2392.0,10.0,4.0,15.0,1.0,0.0,1.0,3.0
61,501.0,0.0,2.3,0.0,12.0,1.0,54.0,0.3,131.0,4.0,19.0,504.0,1089.0,2346.0,13.0,12.0,2.0,1.0,0.0,1.0,1.0
62,1786.0,0.0,2.6,0.0,6.0,0.0,14.0,1.0,115.0,4.0,15.0,616.0,912.0,3038.0,18.0,0.0,14.0,1.0,0.0,0.0,3.0
63,1066.0,0.0,0.6,0.0,2.0,1.0,7.0,0.9,114.0,7.0,18.0,1242.0,1571.0,468.0,19.0,13.0,6.0,1.0,1.0,0.0,0.0
64,1289.0,1.0,1.0,1.0,,0.0,49.0,0.8,159.0,,15.0,,973.0,807.0,12.0,7.0,,1.0,,1.0,1.0
65,504.0,0.0,2.8,1.0,0.0,0.0,40.0,0.5,178.0,3.0,0.0,626.0,1195.0,470.0,6.0,0.0,16.0,1.0,0.0,0.0,0.0
66,1249.0,1.0,0.5,0.0,3.0,1.0,55.0,0.8,140.0,3.0,8.0,605.0,1193.0,531.0,18.0,10.0,13.0,1.0,1.0,1.0,0.0
67,1967.0,0.0,0.5,0.0,0.0,1.0,46.0,0.6,199.0,1.0,7.0,518.0,1374.0,1567.0,15.0,2.0,7.0,1.0,1.0,0.0,1.0
68,663.0,0.0,0.8,1.0,0.0,0.0,25.0,0.6,183.0,2.0,1.0,82.0,1605.0,3176.0,6.0,2.0,2.0,1.0,0.0,1.0,2.0
69,1150.0,1.0,2.7,0.0,0.0,0.0,39.0,0.4,151.0,8.0,1.0,397.0,800.0,999.0,6.0,2.0,11.0,1.0,1.0,0.0,0.0
70,914.0,1.0,0.5,0.0,0.0,1.0,26.0,0.7,147.0,4.0,0.0,706.0,721.0,1122.0,12.0,9.0,2.0,1.0,1.0,1.0,0.0
71,869.0,0.0,1.3,1.0,3.0,0.0,34.0,0.1,104.0,2.0,4.0,478.0,539.0,3864.0,13.0,3.0,11.0,1.0,0.0,0.0,3.0
72,674.0,1.0,2.9,1.0,1.0,0.0,21.0,0.2,198.0,3.0,4.0,576.0,1809.0,1180.0,6.0,3.0,4.0,1.0,1.0,1.0,0.0
73,739.0,1.0,2.3,1.0,2.0,1.0,58.0,0.1,88.0,3.0,4.0,1052.0,1536.0,475.0,7.0,6.0,6.0,1.0,0.0,1.0,0.0
74,1578.0,0.0,2.9,0.0,8.0,0.0,3.0,0.9,200.0,1.0,20.0,342.0,670.0,3483.0,17.0,4.0,16.0,1.0,0.0,0.0,3.0
75,903.0,0.0,1.0,1.0,0.0,1.0,50.0,0.4,91.0,1.0,0.0,1230.0,1235.0,711.0,9.0,5.0,10.0,1.0,1.0,0.0,0.0
76,,0.0,2.2,0.0,8.0,1.0,40.0,,166.0,5.0,,,1142.0,,15.0,10.0,,1.0,1.0,0.0,
77,914.0,1.0,0.9,0.0,2.0,0.0,4.0,0.8,100.0,2.0,12.0,191.0,1495.0,808.0,11.0,7.0,5.0,1.0,1.0,0.0,0.0
78,1220.0,0.0,2.9,0.0,3.0,0.0,62.0,0.5,125.0,4.0,8.0,403.0,1933.0,2589.0,19.0,11.0,15.0,1.0,1.0,1.0,2.0
79,637.0,0.0,2.3,0.0,3.0,1.0,60.0,0.8,97.0,4.0,4.0,1125.0,1989.0,374.0,18.0,4.0,8.0,1.0,0.0,1.0,0.0
80,547.0,0.0,1.9,1.0,1.0,0.0,37.0,0.4,154.0,5.0,4.0,371.0,541.0,2705.0,17.0,3.0,10.0,1.0,1.0,0.0,1.0
81,1731.0,1.0,1.4,1.0,4.0,1.0,4.0,0.5,163.0,6.0,18.0,809.0,1988.0,3892.0,5.0,1.0,4.0,1.0,1.0,1.0,3.0
82,932.0,1.0,0.5,0.0,1.0,1.0,60.0,0.7,104.0,4.0,2.0,268.0,1078.0,1459.0,6.0,1.0,19.0,1.0,1.0,0.0,0.0
83,1126.0,0.0,0.7,0.0,3.0,0.0,49.0,0.9,165.0,8.0,17.0,114.0,1726.0,3739.0,14.0,1.0,13.0,1.0,0.0,0.0,3.0
84,1492.0,1.0,1.5,0.0,5.0,0.0,11.0,0.9,85.0,3.0,7.0,1684.0,1746.0,2259.0,14.0,12.0,19.0,0.0,1.0,1.0,3.0
85,618.0,1.0,2.2,1.0,0.0,1.0,63.0,0.9,138.0,2.0,1.0,853.0,1781.0,2574.0,14.0,3.0,5.0,1.0,1.0,0.0,2.0
86,1940.0,1.0,1.0,1.0,0.0,1.0,5.0,0.2,194.0,4.0,1.0,588.0,1809.0,820.0,19.0,18.0,3.0,1.0,1.0,1.0,1.0
87,1064.0,0.0,2.9,1.0,1.0,1.0,34.0,0.2,184.0,6.0,13.0,1175.0,1569.0,654.0,16.0,13.0,6.0,1.0,0.0,0.0,0.0
88,1263.0,0.0,0.5,0.0,12.0,0.0,64.0,0.3,175.0,5.0,18.0,178.0,1883.0,1183.0,14.0,3.0,17.0,0.0,0.0,1.0,1.0
89,1074.0,0.0,2.4,1.0,2.0,1.0,9.0,0.9,103.0,6.0,14.0,946.0,952.0,1948.0,13.0,1.0,18.0,1.0,1.0,1.0,1.0
90,916.0,1.0,2.6,0.0,0.0,0.0,36.0,0.3,195.0,4.0,12.0,188.0,992.0,1470.0,13.0,0.0,14.0,0.0,1.0,0.0,0.0
91,1966.0,1.0,1.4,1.0,2.0,0.0,40.0,0.9,185.0,8.0,18.0,1197.0,1987.0,1185.0,11.0,2.0,20.0,0.0,1.0,0.0,2.0
92,878.0,1.0,1.3,0.0,13.0,1.0,31.0,0.5,153.0,4.0,18.0,575.0,618.0,3497.0,9.0,7.0,11.0,1.0,1.0,0.0,2.0
93,680.0,1.0,2.1,1.0,9.0,1.0,9.0,0.1,131.0,3.0,11.0,1428.0,1500.0,2438.0,14.0,2.0,17.0,1.0,0.0,0.0,2.0
94,802.0,1.0,2.4,1.0,1.0,0.0,45.0,0.8,157.0,3.0,9.0,1299.0,1633.0,3713.0,8.0,3.0,8.0,0.0,0.0,0.0,3.0
95,689.0,0.0,1.4,0.0,2.0,0.0,45.0,0.5,103.0,5.0,11.0,256.0,823.0,3585.0,10.0,1.0,10.0,1.0,0.0,0.0,3.0
96,1109.0,0.0,2.1,0.0,1.0,0.0,34.0,0.1,173.0,1.0,4.0,165.0,1103.0,2821.0,13.0,5.0,17.0,1.0,0.0,1.0,2.0
97,581.0,0.0,2.2,0.0,0.0,0.0,59.0,0.7,185.0,5.0,6.0,803.0,1613.0,2819.0,19.0,17.0,9.0,0.0,0.0,1.0,2.0
98,523.0,0.0,2.6,1.0,1.0,0.0,14.0,0.1,155.0,8.0,2.0,304.0,1042.0,1427.0,9.0,1.0,9.0,0.0,1.0,0.0,0.0
99,1065.0,0.0,1.7,1.0,4.0,1.0,48.0,0.3,162.0,6.0,8.0,1188.0,1948.0,265.0,8.0,0.0,12.0,1.0,0.0,0.0,0.0
100,1127.0,0.0,2.8,,5.0,0.0,21.0,0.5,135.0,4.0,15.0,864.0,731.0,1812.0,7.0,11.0,14.0,1.0,0.0,1.0,2.0
101,1083.0,1.0,1.4,1.0,2.0,1.0,49.0,0.8,156.0,5.0,9.0,295.0,503.0,1338.0,16.0,8.0,5.0,1.0,1.0,1.0,0.0
102,1277.0,1.0,0.5,1.0,0.0,1.0,35.0,0.4,142.0,6.0,6.0,309.0,1460.0,3559.0,18.0,17.0,6.0,1.0,1.0,0.0,3.0
103,1524.0,1.0,1.8,1.0,0.0,0.0,10.0,0.6,174.0,4.0,1.0,154.0,550.0,2678.0,16.0,5.0,13.0,1.0,0.0,1.0,2.0
104,1166.0,0.0,1.5,1.0,0.0,1.0,43.0,0.8,80.0,4.0,1.0,205.0,603.0,3993.0,7.0,1.0,7.0,1.0,1.0,0.0,3.0
105,560.0,1.0,2.0,1.0,6.0,1.0,57.0,0.3,81.0,3.0,12.0,80.0,1327.0,2167.0,11.0,10.0,7.0,1.0,0.0,1.0,1.0
106,1163.0,1.0,2.1,1.0,0.0,1.0,19.0,0.9,132.0,2.0,1.0,728.0,818.0,2940.0,13.0,0.0,15.0,1.0,0.0,1.0,2.0
107,1322.0,0.0,1.7,1.0,6.0,0.0,7.0,0.8,140.0,3.0,9.0,177.0,1990.0,1418.0,19.0,17.0,12.0,0.0,1.0,0.0,1.0
108,1652.0,1.0,1.1,1.0,1.0,0.0,36.0,0.7,89.0,4.0,5.0,313.0,1264.0,2338.0,12.0,8.0,20.0,0.0,0.0,0.0,2.0
109,1724.0,1.0,1.8,0.0,0.0,1.0,9.0,0.8,100.0,2.0,1.0,655.0,828.0,3056.0,18.0,16.0,6.0,1.0,0.0,0.0,3.0
110,1444.0,1.0,2.1,1.0,0.0,0.0,6.0,0.9,103.0,1.0,1.0,1274.0,1340.0,712.0,17.0,5.0,10.0,0.0,0.0,0.0,0.0
111,1451.0,1.0,0.5,0.0,5.0,1.0,57.0,0.6,181.0,8.0,12.0,812.0,1456.0,3038.0,15.0,7.0,18.0,1.0,0.0,1.0,3.0
112,769.0,0.0,0.5,1.0,12.0,1.0,54.0,0.2,112.0,4.0,19.0,1385.0,1780.0,941.0,15.0,8.0,20.0,1.0,0.0,1.0,0.0
113,934.0,0.0,2.0,1.0,2.0,0.0,30.0,0.7,182.0,8.0,15.0,521.0,1190.0,703.0,10.0,8.0,7.0,0.0,0.0,1.0,0.0
114,1350.0,1.0,1.3,0.0,3.0,1.0,45.0,0.6,148.0,6.0,8.0,15.0,1071.0,1976.0,16.0,4.0,8.0,1.0,,1.0,3.0
115,672.0,1.0,0.5,1.0,0.0,0.0,54.0,0.9,95.0,4.0,11.0,578.0,1143.0,667.0,17.0,8.0,14.0,0.0,0.0,0.0,0.0
116,1976.0,1.0,2.6,1.0,6.0,0.0,45.0,1.0,136.0,4.0,19.0,652.0,1933.0,2470.0,11.0,1.0,3.0,0.0,0.0,0.0,3.0
117,812.0,0.0,0.5,1.0,1.0,0.0,64.0,1.0,106.0,4.0,7.0,35.0,1309.0,3102.0,6.0,0.0,2.0,0.0,0.0,0.0,2.0
118,776.0,1.0,1.7,0.0,0.0,1.0,20.0,1.0,146.0,4.0,9.0,991.0,1803.0,685.0,15.0,11.0,7.0,1.0,1.0,1.0,0.0
119,570.0,1.0,0.5,1.0,2.0,0.0,9.0,0.3,111.0,7.0,5.0,1331.0,1917.0,3663.0,14.0,10.0,14.0,0.0,0.0,0.0,3.0
120,536.0,1.0,1.4,0.0,0.0,1.0,53.0,0.7,135.0,3.0,0.0,547.0,705.0,1211.0,15.0,10.0,7.0,1.0,0.0,1.0,0.0
121,1651.0,1.0,1.8,0.0,11.0,0.0,38.0,0.4,113.0,3.0,13.0,583.0,974.0,,18.0,2.0,9.0,1.0,1.0,0.0,2.0
122,1051.0,1.0,0.7,1.0,3.0,1.0,,0.1,126.0,4.0,10.0,322.0,1212.0,2890.0,15.0,6.0,8.0,0.0,0.0,0.0,0.0
123,723.0,1.0,1.9,0.0,4.0,0.0,30.0,0.3,102.0,1.0,7.0,1467.0,1901.0,2339.0,19.0,9.0,17.0,0.0,1.0,1.0,2.0
124,1068.0,0.0,2.7,1.0,0.0,1.0,45.0,0.6,194.0,5.0,1.0,935.0,1499.0,1754.0,17.0,7.0,9.0,1.0,0.0,1.0,1.0
125,571.0,1.0,2.0,1.0,5.0,1.0,58.0,0.6,101.0,6.0,11.0,31.0,1536.0,555.0,19.0,10.0,11.0,1.0,0.0,1.0,0.0
126,966.0,1.0,0.6,0.0,9.0,1.0,50.0,0.2,117.0,4.0,10.0,1446.0,1754.0,2574.0,10.0,1.0,5.0,1.0,0.0,1.0,2.0
127,1382.0,1.0,0.5,0.0,7.0,1.0,13.0,0.3,199.0,2.0,18.0,612.0,719.0,2073.0,16.0,7.0,9.0,1.0,0.0,1.0,1.0
128,1617.0,0.0,1.5,0.0,1.0,1.0,63.0,0.7,111.0,2.0,10.0,274.0,1079.0,2754.0,19.0,10.0,8.0,1.0,1.0,1.0,2.0
129,1178.0,0.0,2.2,1.0,6.0,0.0,57.0,0.3,84.0,3.0,17.0,96.0,1352.0,2492.0,16.0,14.0,10.0,1.0,1.0,0.0,2.0
130,999.0,0.0,1.7,0.0,6.0,0.0,49.0,0.6,132.0,1.0,17.0,608.0,1970.0,1598.0,7.0,0.0,8.0,0.0,1.0,0.0,1.0
131,1843.0,1.0,1.8,1.0,13.0,1.0,16.0,0.7,134.0,6.0,18.0,118.0,580.0,3213.0,15.0,14.0,15.0,1.0,1.0,0.0,3.0
132,772.0,0.0,1.1,1.0,12.0,0.0,39.0,0.8,81.0,7.0,14.0,1314.0,1854.0,2819.0,17.0,15.0,3.0,1.0,1.0,0.0,3.0
133,1251.0,0.0,0.5,1.0,10.0,1.0,29.0,0.7,133.0,6.0,16.0,308.0,591.0,1052.0,11.0,9.0,11.0,1.0,0.0,0.0,0.0
134,1454.0,0.0,2.6,0.0,8.0,0.0,6.0,0.4,199.0,3.0,20.0,698.0,1018.0,1300.0,10.0,0.0,2.0,0.0,0.0,1.0,1.0
135,1002.0,1.0,1.8,0.0,1.0,0.0,45.0,0.7,180.0,7.0,7.0,948.0,1007.0,1234.0,19.0,13.0,18.0,1.0,1.0,0.0,0.0
136,1678.0,1.0,2.3,1.0,11.0,0.0,7.0,0.5,192.0,1.0,14.0,418.0,1763.0,574.0,5.0,3.0,19.0,1.0,0.0,0.0,0.0
137,1166.0,1.0,0.5,0.0,7.0,0.0,59.0,0.5,80.0,1.0,11.0,437.0,638.0,3887.0,8.0,6.0,7.0,1.0,0.0,1.0,3.0
138,856.0,0.0,1.9,1.0,0.0,1.0,14.0,0.6,115.0,1.0,7.0,395.0,1027.0,2439.0,6.0,3.0,12.0,1.0,1.0,1.0,1.0
139,1027.0,1.0,0.8,0.0,7.0,0.0,18.0,1.0,146.0,7.0,11.0,338.0,534.0,1234.0,7.0,4.0,14.0,1.0,0.0,1.0,0.0
140,1794.0,1.0,0.5,1.0,5.0,1.0,55.0,0.5,86.0,7.0,7.0,43.0,627.0,402.0,14.0,7.0,14.0,1.0,0.0,1.0,0.0
141,1122.0,0.0,1.2,0.0,9.0,0.0,2.0,0.6,120.0,4.0,14.0,331.0,790.0,3291.0,11.0,2.0,13.0,1.0,1.0,1.0,2.0
142,578.0,1.0,2.6,1.0,2.0,1.0,57.0,0.2,162.0,8.0,8.0,1025.0,1433.0,1270.0,15.0,3.0,5.0,1.0,0.0,1.0,0.0
143,605.0,0.0,1.5,0.0,9.0,1.0,18.0,0.9,162.0,2.0,14.0,329.0,656.0,2301.0,15.0,9.0,8.0,1.0,0.0,0.0,1.0
144,1505.0,0.0,1.5,,8.0,,36.0,0.8,142.0,1.0,12.0,539.0,842.0,,18.0,2.0,3.0,1.0,0.0,,2.0
145,548.0,0.0,1.0,1.0,0.0,1.0,56.0,0.4,146.0,4.0,14.0,657.0,1657.0,562.0,17.0,14.0,8.0,1.0,1.0,1.0,0.0
146,1135.0,1.0,2.0,1.0,0.0,0.0,46.0,0.3,83.0,1.0,4.0,293.0,1846.0,3029.0,19.0,17.0,9.0,1.0,1.0,1.0,3.0
147,1544.0,0.0,2.4,0.0,18.0,1.0,12.0,0.1,186.0,7.0,20.0,470.0,844.0,489.0,9.0,4.0,2.0,1.0,0.0,1.0,0.0
148,1191.0,0.0,2.4,1.0,2.0,0.0,13.0,0.9,169.0,1.0,7.0,179.0,1813.0,1028.0,14.0,6.0,8.0,1.0,1.0,1.0,0.0
149,1487.0,0.0,1.5,0.0,5.0,1.0,42.0,0.8,120.0,2.0,7.0,857.0,989.0,2003.0,12.0,4.0,3.0,1.0,0.0,0.0,2.0
150,1953.0,1.0,2.1,1.0,7.0,0.0,56.0,0.1,158.0,8.0,9.0,555.0,764.0,2334.0,11.0,5.0,4.0,1.0,0.0,0.0,2.0
151,1864.0,0.0,1.9,1.0,2.0,0.0,57.0,0.1,181.0,6.0,6.0,1279.0,1793.0,3586.0,19.0,9.0,8.0,0.0,0.0,1.0,3.0
152,950.0,0.0,0.5,0.0,6.0,1.0,55.0,0.1,124.0,8.0,7.0,86.0,1681.0,1305.0,6.0,5.0,4.0,1.0,0.0,1.0,0.0
153,730.0,1.0,0.5,1.0,3.0,1.0,27.0,0.1,112.0,5.0,10.0,62.0,846.0,3623.0,9.0,4.0,15.0,1.0,1.0,0.0,2.0
154,1230.0,1.0,1.6,0.0,0.0,1.0,48.0,0.7,111.0,7.0,2.0,1960.0,1963.0,1622.0,18.0,17.0,16.0,1.0,1.0,1.0,2.0
155,755.0,1.0,2.8,0.0,5.0,1.0,51.0,0.3,186.0,4.0,12.0,315.0,990.0,2734.0,10.0,1.0,16.0,1.0,0.0,1.0,2.0
156,694.0,1.0,1.8,1.0,15.0,0.0,36.0,0.4,193.0,4.0,20.0,983.0,1230.0,3676.0,12.0,8.0,5.0,1.0,0.0,1.0,3.0
