budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
16000000.0,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000.0,Highlander,R,1986-03-07,116,7.2,Christopher Lambert,104860,Gregory Widen,1986
6000000.0,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000.0,Lucas,PG-13,1986-03-28,100,6.8,Corey Haim,12228,David Seltzer,1986
25000000.0,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000.0,Big Trouble in Little China,PG-13,1986-07-02,99,7.3,Kurt Russell,101678,Gary Goldman,1986
15000000.0,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929.0,Manhunter,R,1986-08-15,120,7.2,William Petersen,54000,Thomas Harris,1986
17000000.0,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844.0,9½ Weeks,R,1986-02-21,117,5.9,Mickey Rourke,31798,Elizabeth McNeill,1986
10000000.0,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663.0,Maximum Overdrive,R,1986-07-25,98,5.4,Emilio Estevez,24881,Stephen King,1986
25000000.0,"Geffen Company, The",USA,Frank Oz,Comedy,38747385.0,Little Shop of Horrors,PG-13,1986-12-19,94,6.9,Rick Moranis,53327,Howard Ashman,1986
2700000.0,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000.0,The Wraith,PG-13,1986-11-21,93,5.9,Charlie Sheen,11635,Mike Marvin,1986
35000000.0,Universal Pictures,USA,Willard Huyck,Action,16295774.0,Howard the Duck,PG,1986-08-01,110,4.6,Lea Thompson,36020,Steve Gerber,1986
2000000.0,New Line Cinema,USA,Stephen Herek,Action,13167232.0,Critters,PG-13,1986-04-11,82,6.0,Dee Wallace,25517,Domonic Muir,1986
11000000.0,Orion Pictures,USA,Alan Metter,Comedy,91258000.0,Back to School,PG-13,1986-06-13,96,6.6,Rodney Dangerfield,23120,Rodney Dangerfield,1986
4700000.0,Cannon Films,USA,Tobe Hooper,Comedy,8025872.0,The Texas Chainsaw Massacre 2,UNRATED,1986-08-22,89,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986
15000000.0,Jay Weston Productions,USA,Clint Eastwood,Action,42724017.0,Heartbreak Ridge,R,1986-12-05,130,6.8,Clint Eastwood,32954,James Carabatsos,1986
25000000.0,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132.0,Star Trek IV: The Voyage Home,PG,1986-11-26,119,7.3,William Shatner,66366,Gene Roddenberry,1986
0.0,TriStar Pictures,USA,John Badham,Comedy,40697761.0,Short Circuit,PG,1986-05-09,98,6.6,Ally Sheedy,47068,S.S. Wilson,1986
0.0,Neue Constantin Film,Italy,Jean-Jacques Annaud,Crime,7153487.0,The Name of the Rose,R,1986-09-24,130,7.8,Sean Connery,86991,Umberto Eco,1986
0.0,TriStar Pictures,USA,Sidney J. Furie,Action,24159872.0,Iron Eagle,PG-13,1986-01-17,117,5.3,Louis Gossett Jr.,11304,Kevin Alyn Elders,1986
25000000.0,Paramount Pictures,USA,Michael Ritchie,Action,79817937.0,The Golden Child,PG-13,1986-12-12,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986
1900000.0,Hemdale,USA,Tim Hunter,Crime,4600000.0,River's Edge,R,1987-05-08,99,7.1,Crispin Glover,12862,Neal Jimenez,1986
25000000.0,L.A. Films,USA,John Landis,Comedy,39246734.0,¡Three Amigos!,PG,1986-12-12,104,6.4,Steve Martin,57406,Steve Martin,1986
25000000.0,Warner Bros.,USA,George P. Cosmatos,Action,49042224.0,Cobra,R,1986-05-23,87,5.7,Sylvester Stallone,54851,Paula Gosling,1986
0.0,Gaumont,France,Jean-Jacques Beineix,Drama,2003822.0,Betty Blue,Not specified,1986-11-07,120,7.4,Jean-Hugues Anglade,14562,Philippe Djian,1986
24500000.0,Warner Bros.,UK,Roland Joffé,Adventure,17218023.0,The Mission,PG,1986-10-31,125,7.5,Robert De Niro,47497,Robert Bolt,1986
13800000.0,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982.0,The Color of Money,R,1986-10-17,119,7.0,Paul Newman,62495,Walter Tevis,1986
0.0,Columbia Pictures Corporation,USA,John G. Avildsen,Action,115103979.0,The Karate Kid Part II,PG,1986-06-20,113,5.9,Pat Morita,58370,Robert Mark Kamen,1986
0.0,Lorimar Productions,USA,Nick Castle,Drama,7177431.0,The Boy Who Could Fly,PG,1986-09-26,114,6.5,Lucy Deakins,4623,Nick Castle,1986
6000000.0,HBO Films,USA,Robert Harmon,Thriller,5844868.0,The Hitcher,R,1986-02-21,97,7.3,Rutger Hauer,36191,Eric Red,1986
10000000.0,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651.0,The Money Pit,PG,1986-03-26,91,6.3,Tom Hanks,41278,David Giler,1986
3000000.0,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057.0,Jason Lives: Friday the 13th Part VI,R,1986-08-01,86,5.9,Thom Mathews,28310,Tom McLoughlin,1986
25000000.0,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779.0,The Mosquito Coast,PG,1986-11-26,117,6.6,Harrison Ford,23076,Paul Theroux,1986
0.0,Universal Pictures,USA,Don Bluth,Animation,47483002.0,An American Tail,G,1986-11-21,80,6.9,Dom DeLuise,41004,Judy Freudberg,1986
4000000.0,Initial Pictures,UK,Alex Cox,Biography,2826523.0,Sid and Nancy,R,1986-11-07,112,7.1,Gary Oldman,25032,Alex Cox,1986
10000000.0,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220.0,King Kong Lives,PG-13,1986-12-19,105,3.8,Brian Kerwin,4401,Ronald Shusett,1986
4500000.0,Empire Pictures,USA,Stuart Gordon,Horror,1261000.0,From Beyond,R,1986-10-24,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986
18000000.0,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841.0,Peggy Sue Got Married,PG-13,1986-10-10,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986
19000000.0,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665.0,Poltergeist II: The Other Side,PG-13,1986-05-23,91,5.7,JoBeth Williams,20669,Mark Victor,1986
1100000.0,Empire Pictures,USA,John Carl Buechler,Comedy,5450815.0,Troll,PG-13,1986-01-17,82,4.3,Michael Moriarty,7569,Ed Naha,1986
0.0,Metro-Goldwyn-Mayer (MGM),USA,Peter Hyams,Action,38500726.0,Running Scared,R,1986-06-27,107,6.5,Gregory Hines,9344,Gary DeVore,1986
0.0,Hawn / Sylbert Movie Company,USA,Michael Ritchie,Comedy,26285544.0,Wildcats,R,1986-02-14,106,5.9,Goldie Hawn,10239,Ezra Sacks,1986
111000.0,Maljack Productions,USA,John McNaughton,Biography,609939.0,Henry: Portrait of a Serial Killer,UNRATED,1990-09-07,83,7.0,Michael Rooker,25367,Richard Fire,1986
18000000.0,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739.0,SpaceCamp,PG,1986-06-06,107,5.6,Kate Capshaw,11484,Clifford Green,1986
6400000.0,Orion Pictures,USA,Woody Allen,Comedy,40084041.0,Hannah and Her Sisters,PG-13,1986-03-14,107,8.0,Mia Farrow,56988,Woody Allen,1986
14000000.0,Walt Disney Pictures,USA,Ron Clements,Animation,38600000.0,The Great Mouse Detective,G,1986-07-02,74,7.2,Vincent Price,36539,Peter Young,1986
8500000.0,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459.0,Raw Deal,R,1986-06-06,106,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni,1986
6000000.0,Sunbow Productions,USA,Nelson Shin,Animation,5849647.0,The Transformers: The Movie,PG,1986-08-08,84,7.3,Orson Welles,33609,Ron Friedman,1986
0.0,TaliaFilm II Productions,USA,Hal Needham,Drama,2015882.0,Rad,PG,1986-03-28,91,7.2,Bart Conner,4039,Sam Bernard,1986
5000000.0,TriStar Pictures,USA,Fred Dekker,Comedy,591366.0,Night of the Creeps,R,1986-08-22,88,6.8,Jason Lively,16077,Fred Dekker,1986
12000000.0,Cannon Pictures,USA,Tobe Hooper,Horror,4884663.0,Invaders from Mars,PG,1986-06-06,100,5.5,Karen Black,5878,Richard Blake,1986
0.0,Columbia Pictures Corporation,USA,Walter Hill,Drama,5839031.0,Crossroads,R,1986-03-14,99,7.1,Ralph Macchio,11415,John Fusco,1986
6000000.0,De Haven Productions,UK,David Anspaugh,Drama,28607524.0,Hoosiers,PG,1987-02-27,114,7.6,Gene Hackman,36604,Angelo Pizzo,1986
0.0,Svenska Filminstitutet (SFI),Sweden,Andrei Tarkovsky,Drama,300653.0,Sacrifice,PG,1986-11,149,8.1,Erland Josephson,16571,Andrei Tarkovsky,1986
6500000.0,Cinema '85,USA,James Foley,Crime,2347000.0,At Close Range,R,1986-04-18,111,7.0,Sean Penn,11607,Elliott Lewitt,1986
0.0,Blueline Productions,USA,Peter Markle,Drama,15448384.0,Youngblood,R,1986-01-31,110,6.1,Rob Lowe,10412,Peter Markle,1986
0.0,Seasonal Film Corporation,USA,Corey Yuen,Action,4662137.0,"No Retreat, No Surrender",PG,1986-05-02,85,5.6,Kurt McKinney,12803,See-Yuen Ng,1986
0.0,Universal Pictures,USA,Anthony Perkins,Horror,14481606.0,Psicosis III,R,1986-07-02,93,5.3,Anthony Perkins,10022,Charles Edward Pogue,1986
20000000.0,Paramount Pictures,USA,Mike Nichols,Comedy,25314289.0,Heartburn,R,1986-07-25,108,6.1,Meryl Streep,7570,Nora Ephron,1986
15000000.0,Warner Bros.,USA,Michael Chapman,Adventure,1953732.0,The Clan of the Cave Bear,R,1986-01-17,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986
12000000.0,Golan-Globus Productions,USA,Menahem Golan,Action,17768900.0,The Delta Force,R,1986-02-14,125,5.6,Chuck Norris,15819,James Bruner,1986
0.0,Warner Bros.,USA,Wes Craven,Drama,8988731.0,Deadly Friend,R,1986-10-10,91,5.5,Matthew Labyorteaux,5419,Diana Henstell,1986
0.0,TriStar Pictures,USA,Edward Zwick,Comedy,38702310.0,About Last Night...,R,1986-07-02,113,6.2,Rob Lowe,12307,David Mamet,1986
0.0,Balcor Film Investors,USA,Steve Miner,Comedy,27820000.0,Soul Man,PG-13,1986-10-24,104,5.2,C. Thomas Howell,6440,Carol Black,1986
0.0,A&M; Films,USA,Savage Steve Holland,Comedy,13431806.0,One Crazy Summer,PG,1986-08-08,93,6.4,John Cusack,11581,Savage Steve Holland,1986
0.0,De Laurentiis Entertainment Group (DEG),USA,Charles Martin Smith,Comedy,6797218.0,Trick or Treat,R,1986-10-24,98,5.8,Marc Price,4585,Rhet Topham,1986
18000000.0,Paramount Pictures,USA,Ron Howard,Comedy,36611610.0,Gung Ho,PG-13,1986-03-14,112,6.2,Michael Keaton,9965,Edwin Blum,1986
0.0,American Filmworks,USA,Sidney Lumet,Crime,25147055.0,The Morning After,R,1986-12-25,103,6.0,Jane Fonda,4943,James Cresson,1986
0.0,Police Academy Productions,USA,Jerry Paris,Comedy,43579163.0,Police Academy 3: Back in Training,PG,1986-03-21,83,5.2,Steve Guttenberg,35443,Neal Israel,1986
175000.0,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502.0,She's Gotta Have It,R,1986-08-08,84,6.6,Tracy Camilla Johns,5257,Spike Lee,1986
0.0,Touchstone Pictures,USA,Jim Abrahams,Comedy,71624879.0,Ruthless People,R,1986-06-27,93,6.9,Bette Midler,22554,Dale Launer,1986
8700000.0,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912.0,Band of the Hand,R,1986-04-11,109,6.3,Stephen Lang,2297,Leo Garen,1986
0.0,Cannon Group,USA,John Frankenheimer,Crime,5186646.0,52 Pick-Up,R,1986-11-07,110,6.4,Roy Scheider,3866,Elmore Leonard,1986
0.0,Paramount Pictures,USA,Randa Haines,Drama,31853080.0,Children of a Lesser God,R,1986-10-31,119,7.2,William Hurt,12538,Mark Medoff,1986
12000000.0,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534.0,Armed and Dangerous,PG-13,1986-08-15,88,5.6,John Candy,9040,Brian Grazer,1986
1100000.0,Black Snake,USA,Jim Jarmusch,Comedy,1436000.0,Down by Law,R,1986-10-30,107,7.8,Tom Waits,39456,Jim Jarmusch,1986
10000000.0,Orion Pictures,USA,Robert Mandel,Action,20603715.0,F/X,R,1986-02-07,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986
0.0,Fuji Television Network,Japan,Masanori Hata,Adventure,13245219.0,The Adventures of Milo and Otis,G,1989-08-25,90,7.1,Kyôko Koizumi,9178,Masanori Hata,1986
0.0,Religioso Primitiva,USA,Jonathan Demme,Comedy,8362969.0,Something Wild,R,1986-11-07,114,6.9,Jeff Daniels,13186,E. Max Frye,1986
18000000.0,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000.0,The Manhattan Project,PG-13,1986-06-13,117,6.1,John Lithgow,4666,Marshall Brickman,1986
5000000.0,Paramount Pictures,USA,Fred Walton,Horror,12947763.0,April Fool's Day,R,1986-03-28,89,6.2,Deborah Foreman,11458,Danilo Bach,1986
25000000.0,Brooksfilms,USA,Alan Johnson,Action,1579260.0,Solarbabies,PG-13,1986-11-26,94,4.8,Richard Jordan,3397,Walon Green,1986
0.0,Kings Road Entertainment,USA,Jim McBride,Comedy,17685307.0,The Big Easy,R,1987-08-28,102,6.6,Dennis Quaid,10022,Daniel Petrie Jr.,1986
0.0,Lawrence Gordon Productions,USA,Penny Marshall,Comedy,25587804.0,Jumpin' Jack Flash,R,1986-10-10,105,5.8,Whoopi Goldberg,15703,David Franzoni,1986
40000000.0,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825.0,Piratas,PG-13,1986-07-18,121,6.1,Walter Matthau,6596,John Brownjohn,1986
0.0,Meltdown Productions,UK,Jimmy T. Murakami,Animation,5274.0,When the Wind Blows,Not specified,1988-03-11,80,7.8,Peggy Ashcroft,7900,Raymond Briggs,1986
10000000.0,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229.0,Tough Guys,PG,1986-10-03,104,6.2,Burt Lancaster,5584,James Orr,1986
0.0,Compañía Iberoamericana de TV,Spain,Pedro Almodóvar,Drama,206952.0,Matador,NC-17,1986-03-07,110,7.0,Assumpta Serna,8959,Pedro Almodóvar,1986
0.0,New World Pictures,USA,Harley Cokeliss,Action,6637565.0,Black Moon Rising,R,1986-01-10,100,5.4,Tommy Lee Jones,4045,John Carpenter,1986
12000000.0,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931.0,The Best of Times,PG-13,1986-01-31,104,5.9,Robin Williams,5523,Ron Shelton,1986
2000000.0,Paragon Arts International,UK,Kevin Tenney,Horror,7369373.0,Witchboard,R,1987-03-13,98,5.7,Todd Allen,4744,Kevin Tenney,1986
14000000.0,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225.0,Down and Out in Beverly Hills,R,1986-01-31,103,6.1,Nick Nolte,13569,René Fauchois,1986
8500000.0,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646.0,Lady Jane,PG-13,1986-02-07,136,7.2,Helena Bonham Carter,5364,Chris Bryant,1986
0.0,Columbia Pictures Corporation,USA,Thomas Michael Donnelly,Crime,7634909.0,Quicksilver,PG,1986-02-14,105,5.6,Kevin Bacon,3720,Thomas Michael Donnelly,1986
0.0,Sunbow Productions,USA,Mike Joens,Animation,5958456.0,My Little Pony: The Movie,G,1986-06-06,86,6.0,Danny DeVito,2125,George Arthur Bloom,1986
0.0,Virgin Vision,UK,Ken Russell,Horror,916172.0,Gothic,R,1987-04-10,87,5.7,Gabriel Byrne,5843,Lord Byron,1986
18000000.0,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114.0,8 Million Ways to Die,R,1986-04-25,115,5.7,Jeff Bridges,3607,Lawrence Block,1986
0.0,TriStar Pictures,USA,Richard Pearce,Crime,12303904.0,No Mercy,R,1986-12-19,106,5.7,Richard Gere,5564,James Carabatsos,1986
0.0,Orion Pictures,USA,Gene Wilder,Comedy,8033397.0,Haunted Honeymoon,PG,1986-07-25,82,5.6,Gene Wilder,5549,Gene Wilder,1986
0.0,Empire Pictures,USA,Ted Nicolaou,Comedy,320256.0,TerrorVision,R,1986-02-14,83,5.7,Diane Franklin,4620,Ted Nicolaou,1986
0.0,Golan-Globus Productions,USA,Gary Nelson,Action,3751699.0,Allan Quatermain and the Lost City of Gold,PG,1987-01-30,99,4.4,Richard Chamberlain,7491,H. Rider Haggard,1986
0.0,HandMade Films,UK,Neil Jordan,Crime,5794184.0,Mona Lisa,R,1986-06-13,104,7.4,Bob Hoskins,10747,Neil Jordan,1986
0.0,Delphi Films,USA,Garry Marshall,Comedy,32324557.0,Nothing in Common,PG,1986-07-30,118,5.9,Tom Hanks,5345,Rick Podell,1986
8000000.0,Cannon Group,USA,J. Lee Thompson,Action,11834302.0,Firewalker,PG,1986-11-21,104,5.0,Chuck Norris,4752,Robert Gosnell,1986
0.0,Cannon Screen Entertainment,UK,Nicolas Roeg,Adventure,483460.0,Castaway,R,1987-09-11,117,6.0,Oliver Reed,2649,Lucy Irvine,1986
3300000.0,Amaretto Films,USA,Richard Wenk,Comedy,4941117.0,Vamp,R,1986-07-18,93,5.9,Chris Makepeace,3909,Donald P. Borchers,1986
0.0,British Film Institute (BFI),UK,Derek Jarman,Biography,3151.0,Caravaggio,Not specified,1986-08-29,93,6.7,Noam Almaz,4072,Derek Jarman,1986
0.0,Les Films Plain Chant,France,Leos Carax,Crime,21483.0,Mauvais Sang,UNRATED,1986-11-26,116,7.3,Michel Piccoli,4922,Leos Carax,1986
0.0,Paramount Pictures,USA,Duncan Gibbins,Drama,4636169.0,Fire with Fire,PG-13,1986-05-09,103,6.6,Craig Sheffer,1264,Bill Phillips,1986
15000000.0,Warner Bros.,USA,Harold Ramis,Comedy,12308521.0,Club Paradise,PG-13,1986-07-11,96,4.9,Robin Williams,5049,Harry Shearer,1986
40000000.0,Universal Pictures,USA,Ivan Reitman,Comedy,49851591.0,Legal Eagles,PG,1986-06-20,116,5.9,Robert Redford,8374,Ivan Reitman,1986
0.0,Thorn EMI Screen Entertainment,UK,Christopher Morahan,Comedy,1476356.0,Clockwise,PG,1986-10-10,96,6.6,John Cleese,9689,Michael Frayn,1986
0.0,Atlantic Entertainment Group,USA,Robert M. Young,Drama,13418091.0,Extremities,R,1986-08-22,89,6.3,Farrah Fawcett,2705,William Mastrosimone,1986
13000000.0,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466.0,Wise Guys,R,1986-04-18,100,5.6,Danny DeVito,4573,George Gallo,1986
0.0,Atlantic Entertainment Group,USA,Peter Medak,Drama,2444076.0,The Men's Club,R,1986-09-19,101,4.5,David Dukes,680,Leonard Michaels,1986
0.0,DD Productions,Switzerland,Claude Berri,Drama,4940939.0,Jean de Florette,PG,1987-08-28,120,8.1,Yves Montand,20914,Claude Berri,1986
0.0,Balcor Film Investors,USA,Tom DeSimone,Drama,2510433.0,Reform School Girls,R,1986-08-22,94,5.2,Linda Carol,1717,Jack Cummins,1986
0.0,DD Productions,Switzerland,Claude Berri,Drama,3940542.0,Manon of the Spring,PG,1987-12-04,113,8.0,Yves Montand,17849,Claude Berri,1986
17000000.0,HandMade Films,UK,Jim Goddard,Adventure,2315683.0,Shanghai Surprise,PG-13,1986-08-29,97,3.1,Sean Penn,4339,John Kohn,1986
16000000.0,Lorimar Productions,USA,Sidney Lumet,Drama,3800000.0,Power,R,1986-01-31,111,5.7,Richard Gere,2287,David Himmelstein,1986
0.0,Not specified,USA,Jerry Kramer,Comedy,604849.0,Modern Girls,PG-13,1986-11-07,84,5.9,Daphne Zuniga,1023,Laurie Craig,1986
20000000.0,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500.0,Crimes of the Heart,PG-13,1987-01-23,105,6.4,Diane Keaton,3079,Beth Henley,1986
0.0,Cinema VII,USA,John McTiernan,Horror,2278264.0,Nomads,R,1986-03-07,91,5.5,Lesley-Anne Down,3006,John McTiernan,1986
0.0,Empire Pictures,USA,Peter Manoogian,Action,4601256.0,Eliminators,PG,1986-01-31,96,4.5,Andrew Prine,1422,Paul De Meo,1986
0.0,TMS Pictures,Canada,George Mendeluk,Comedy,2147228.0,Meatballs III: Summer Job,R,1987-01-09,96,3.3,Sally Kellerman,2003,Janis Allen,1986
6000000.0,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631.0,Murphy's Law,R,1986-04-18,100,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986
0.0,Edward R. Pressman Film,USA,David Byrne,Musical,2545142.0,True Stories,PG,1986-10-10,90,7.0,David Byrne,3885,Stephen Tobolowsky,1986
0.0,Warner Bros.,USA,Prince,Comedy,10090429.0,Under the Cherry Moon,PG-13,1986-07-02,98,4.9,Prince,2549,Becky Johnston,1986
0.0,Delphi V Productions,Israel,Moshé Mizrahi,Drama,278623.0,Every Time We Say Goodbye,PG-13,1986-11-14,95,5.9,Tom Hanks,1834,Moshé Mizrahi,1986
0.0,Goldcrest Films International,UK,Julien Temple,Drama,930211.0,Absolute Beginners,PG-13,1986-04-18,108,5.6,Patsy Kensit,2659,Colin MacInnes,1986
0.0,Little Bear,USA,Bertrand Tavernier,Drama,3272600.0,'Round Midnight,R,1986-10-03,133,7.4,Dexter Gordon,4028,David Rayfiel,1986
4000000.0,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650.0,Avenging Force,R,1986-09-12,104,5.9,Michael Dudikoff,1808,James Booth,1986
0.0,Simcom Limited,Canada,Paul Lynch,Action,2995527.0,Bullies,R,1986-08-29,96,5.4,Jonathan Crombie,340,John Sheppard,1986
0.0,Compact Yellowbill,UK,John Hough,Adventure,112132.0,Biggles: Adventures in Time,PG,1988-01-29,88,5.8,Neil Dickson,2243,W.E. Johns,1986
0.0,Lorimar Productions,USA,Albert Magnoli,Drama,4845724.0,American Anthem,PG-13,1986-06-27,102,4.0,Mitchell Gaylord,1284,Evan Archerd,1986
0.0,Columbia Pictures Corporation,USA,Richard Tuggle,Action,5099316.0,Out of Bounds,R,1986-07-25,93,5.4,Anthony Michael Hall,1016,Tony Kayden,1986
0.0,Crown International Pictures,USA,David Beaird,Comedy,4781448.0,My Chauffeur,R,1986-01-24,97,5.6,Deborah Foreman,1426,David Beaird,1986
18000000.0,Rastar Pictures,USA,Gene Saks,Comedy,11957943.0,Brighton Beach Memoirs,PG-13,1986-12-25,108,6.9,Blythe Danner,2720,Neil Simon,1986
0.0,Ministère de la Culture et de la Communication,France,Éric Rohmer,Drama,37455.0,Summer,R,1986-08-29,98,7.8,Marie Rivière,4612,Marie Rivière,1986
0.0,Cannon Group,USA,Paul Nicholas,Drama,3136701.0,The Naked Cage,R,1986-03-07,97,5.5,Shari Shattuck,327,Paul Nicholas,1986
0.0,Cannon Screen Entertainment,UK,Richard Franklin,Horror,1720450.0,Link,R,1986-09-19,100,5.9,Terence Stamp,2080,Lee David Zlotoff,1986
0.0,Edward R. Pressman Film,UK,Bob Swaim,Thriller,1131399.0,Half Moon Street,R,1986-09-26,90,5.4,Sigourney Weaver,2157,Edward Behr,1986
0.0,Aaron Spelling Productions,USA,Tom Moore,Drama,441863.0,"'night, Mother",PG-13,1987-01-29,96,7.6,Sissy Spacek,1840,Marsha Norman,1986
0.0,Blake Edwards,USA,Blake Edwards,Action,6029824.0,A Fine Mess,PG,1986-08-08,90,4.5,Ted Danson,1164,Blake Edwards,1986
0.0,Chroma III Productions,USA,Mark Griffiths,Comedy,78068.0,Hardbodies 2,R,1986-09-12,88,2.9,James Karen,895,Mark Griffiths,1986
0.0,Fons Rademakers Produktie,Netherlands,Fons Rademakers,Drama,203781.0,The Assault,PG,1986-02-06,155,7.3,Derek de Lint,2694,Gerard Soeteman,1986
0.0,Griffon Productions,USA,Paul Schneider,Comedy,277405.0,Willy/Milly,PG-13,1986-11-14,86,5.7,Pamela Adlon,323,Alan Friedman,1986
0.0,Heron Communications,USA,Janet Greek,Drama,239073.0,The Ladies Club,R,1986-04,85,5.3,Karen Austin,154,Casey Bishop,1986
0.0,Delphi V Productions,USA,Stuart Rosenberg,Action,140980.0,Let's Get Harry,R,1986-10-31,102,5.2,Michael Schoeffling,978,Mark Feldberg,1986
25000000.0,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250.0,Tai-Pan,R,1986-11-07,127,5.5,Bryan Brown,1340,John Briley,1986
0.0,Scary Stuff,USA,Jeffrey Delman,Comedy,2750741.0,Deadtime Stories,R,1986-11-28,93,4.6,Scott Valentine,973,Jeffrey Delman,1986
17000000.0,Escalante Productions,USA,Dick Richards,Action,2793214.0,Heat,R,1987-03-13,101,5.5,Burt Reynolds,1358,William Goldman,1986
0.0,Kings Road Entertainment,USA,Robert Mandel,Comedy,1254040.0,Touch and Go,R,1986-08-22,101,5.8,Michael Keaton,684,Alan Ormsby,1986
0.0,Canadian Broadcasting Corporation (CBC),Canada,Charles Jarrott,Biography,275000.0,The Boy in Blue,R,1986-01-17,100,5.4,Nicolas Cage,907,Douglas Bowie,1986
0.0,Universal Pictures,USA,Alan Alda,Comedy,14205021.0,Sweet Liberty,PG,1986-05-16,106,5.7,Alan Alda,2300,Alan Alda,1986
0.0,Marquis,USA,William Fruet,Comedy,681337.0,Killer Party,R,1986-05-09,91,4.7,Martin Hewitt,1265,Barney Cohen,1986
0.0,Rondo Productions,USA,Bill Sherwood,Drama,537681.0,Parting Glances,Not specified,1986-02-19,90,7.8,John Bolger,2330,Bill Sherwood,1986
0.0,Nelvana,Canada,Dale Schott,Animation,8540346.0,Care Bears Movie II: A New Generation,G,1986-03-21,76,5.3,Maxine Miller,1760,Peter Sauder,1986
