Id,Name,Platform,Year,Genre,Publisher,Rank,Difficulty,Ign_score,NA_Sales,EU_Sales,JP_Sales,Other_Sales
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,26,nan,nan,6.06,3.9,5.38,0.5
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,27,nan,nan,5.57,3.28,5.65,0.82
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,28,nan,nan,3.44,5.36,5.32,1.18
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,29,4,nan,6.85,5.09,1.87,1.16
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,30,nan,nan,9.03,4.28,0.13,1.32
31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,31,nan,nan,5.89,5.04,3.12,0.59
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,32,nan,nan,9.67,3.73,0.11,1.13
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,33,nan,nan,5.17,4.05,4.34,0.79
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,34,7,nan,5.77,5.81,0.35,2.31
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,35,nan,nan,4.99,5.88,0.65,2.52
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,36,nan,nan,8.25,4.3,0.07,1.12
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,37,nan,nan,8.52,3.63,0.08,1.29
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,38,8,nan,5.54,5.82,0.49,1.62
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,39,nan,0,6.99,4.51,0.3,1.3
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,40,nan,2,6.75,2.61,2.66,1.02
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,41,nan,nan,5.98,4.44,0.48,1.83
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,42,3,nan,2.55,3.52,5.33,0.88
43,Mario Kart 7,3DS,2011,Racing,Nintendo,43,2,nan,4.74,3.91,2.67,0.89
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,44,3,nan,7.97,2.83,0.13,1.21
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,45,nan,7,3.8,5.81,0.36,2.02
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,46,6,0,4.4,2.77,3.96,0.77
47,Super Mario 64,N64,1996,Platform,Nintendo,47,nan,4,6.91,2.85,1.91,0.23
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,48,8,nan,3.01,0.01,1.1,7.53
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,49,nan,nan,6.16,3.4,1.2,0.76
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,50,nan,nan,4.23,3.37,3.08,0.65
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,51,9,nan,6.16,2.04,2.69,0.29
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,52,nan,nan,6.76,3.1,0.14,1.03
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,53,nan,nan,4.02,3.87,2.54,0.52
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,54,nan,nan,4.89,2.99,2.13,0.78
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,55,nan,8,2.96,4.88,0.81,2.12
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,56,nan,3,4.99,3.69,0.38,1.63
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,57,nan,nan,4.76,3.76,0.44,1.62
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,58,nan,10,5.99,2.15,2.12,0.29
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,59,nan,nan,4.34,2.65,3.15,0.35
60,Super Mario 64,DS,2004,Platform,Nintendo,60,nan,nan,5.08,3.11,1.25,0.98
61,Just Dance 3,Wii,2011,Misc,Ubisoft,61,4,3,6.05,3.15,0,1.07
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,62,nan,nan,6.72,2.63,0.04,0.82
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,63,nan,6,7.03,1.98,0.08,0.78
64,Mario Kart 64,N64,1996,Racing,Nintendo,64,nan,nan,5.55,1.94,2.23,0.15
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,65,nan,nan,3.66,3.07,2.47,0.63
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,66,nan,nan,6.63,2.36,0.04,0.73
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,67,10,nan,3.01,2.47,3.28,0.96
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,68,nan,nan,4.09,3.73,0.38,1.38
69,Just Dance 2,Wii,2010,Misc,Ubisoft,69,nan,nan,5.84,2.89,0.01,0.78
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,70,nan,nan,3.88,3.42,1.69,0.5
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,71,nan,2,5.91,2.38,0.13,0.9
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,72,nan,nan,4.36,1.71,3,0.23
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,73,nan,0,5.58,2.83,0.02,0.77
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,74,0,nan,2.01,2.32,4.36,0.41
75,Mario Party DS,DS,2007,Misc,Nintendo,75,7,nan,4.46,1.88,1.98,0.7
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,76,0,nan,5.03,2.86,0.1,0.85
77,Super Mario Kart,SNES,1992,Racing,Nintendo,77,nan,nan,3.54,1.24,3.81,0.18
78,FIFA 16,PS4,2015,Sports,Electronic Arts,78,nan,nan,1.11,6.06,0.06,1.26
79,Wii Party,Wii,2010,Misc,Nintendo,79,nan,nan,1.79,3.53,2.49,0.68
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,80,nan,nan,6.82,1.53,0.05,0.08
81,Mario Party 8,Wii,2007,Misc,Nintendo,81,nan,nan,3.81,2.3,1.58,0.73
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,82,5,4,2.91,1.86,3.14,0.43
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,83,nan,nan,1.06,5.05,0.13,2.01
84,The Sims 3,PC,2009,Simulation,Electronic Arts,84,nan,nan,0.98,6.42,0,0.71
85,GoldenEye 007,N64,1997,Shooter,Nintendo,85,nan,nan,5.8,2.01,0.13,0.15
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,86,6,5,2.58,3.9,0.66,0.91
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,87,3,nan,2.91,2.07,2.73,0.33
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,88,9,nan,2.28,1.72,3.63,0.23
89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,89,nan,nan,2.82,1.78,2.69,0.55
90,Pac-Man,2600,1982,Puzzle,Atari,90,nan,nan,7.28,0.45,0,0.08
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,91,nan,nan,2.9,2.83,0.24,1.75
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,92,nan,3,3.66,2.42,0.98,0.64
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,93,nan,nan,2.93,3.29,0.22,1.23
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,94,nan,nan,2.8,3.3,0.14,1.37
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,95,nan,nan,4.1,1.89,1.45,0.16
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,96,nan,nan,3.78,2.17,1.31,0.31
97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,97,nan,nan,5.39,1.18,0.7,0.19
98,Masters of Chocobo Onslaught,nan,nan,nan,nan,98,nan,nan,nan,nan,nan,nan
99,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,99,nan,nan,3.24,1.35,2.42,0.43
100,Call of Duty: World at War,X360,2008,Shooter,Activision,100,nan,nan,4.79,1.9,0,0.69
101,Battlefield 3,X360,2011,Shooter,Electronic Arts,101,4,nan,4.46,2.13,0.06,0.69
102,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,102,nan,nan,3.83,2.19,0.6,0.7
103,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,103,nan,nan,4.52,2.09,0.01,0.67
104,Just Dance,Wii,2009,Misc,Ubisoft,104,8,nan,3.51,3.03,0,0.73
105,Battlefield 3,PS3,2011,Shooter,Electronic Arts,105,nan,nan,2.85,2.93,0.35,1.1
106,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,106,8,nan,3.27,2.83,0.08,1.02
107,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,107,7,nan,3.27,2.22,1.4,0.29
108,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,108,nan,0,3.68,1.75,1.42,0.28
109,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,109,8,nan,4.41,1.04,1.39,0.22
110,Mario Kart 8,WiiU,2014,Racing,Nintendo,110,nan,nan,3.13,2.07,1.27,0.49
111,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,111,nan,nan,2.47,3.15,0.24,1.1
112,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,112,nan,9,4.12,1.77,0.87,0.19
113,Just Dance 4,Wii,2012,Misc,Ubisoft,113,0,nan,4.14,2.21,0,0.56
114,FIFA 14,PS3,2013,Sports,Electronic Arts,114,nan,nan,0.78,4.32,0.07,1.73
115,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,115,1,nan,2.71,3.02,0.08,1.09
116,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,116,nan,nan,2.93,2.75,0.17,0.99
117,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,117,nan,nan,2.77,2.8,0.19,1.06
118,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,118,1,nan,3.23,2.35,0.94,0.3
119,Zumba Fitness,Wii,2010,Sports,505 Games,119,0,nan,3.5,2.64,0,0.67
120,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,120,nan,nan,4.15,1.92,0.06,0.64
121,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,121,nan,nan,3.27,2.25,0.21,1
122,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,122,nan,nan,3.1,2.3,0.28,1.04
123,FIFA 12,PS3,2011,Sports,Electronic Arts,123,nan,nan,0.84,4.32,0.11,1.42
124,Big Brain Academy,DS,2005,Misc,Nintendo,124,nan,nan,1.67,2.78,1.6,0.62
125,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,125,nan,nan,2.79,2.61,0.17,1.03
126,FIFA 15,PS4,2014,Sports,Electronic Arts,126,nan,1,0.79,4.29,0.05,1.47
127,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,127,5,nan,3.25,1.84,1.03,0.47
128,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,128,nan,8,2.55,2.71,0.25,1.05
129,The Legend of Zelda,NES,1986,Action,Nintendo,129,6,nan,3.74,0.93,1.69,0.14
130,Assassin's Creed III,PS3,2012,Action,Ubisoft,130,nan,nan,2.64,2.56,0.16,1.14
131,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,131,nan,nan,4.98,1.3,0.08,0.07
132,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,132,nan,nan,2.57,1.58,2.06,0.21
133,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,133,nan,nan,3.64,1.2,1.49,0.07
134,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,134,nan,9,2.55,1.56,1.29,0.99
135,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,135,nan,2,4.34,1.35,0.06,0.61
136,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,136,nan,8,3.7,1.97,0.09,0.57
137,Super Mario Sunshine,GC,2002,Platform,Nintendo,137,nan,nan,4.01,1.26,0.87,0.17
138,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,138,nan,9,2.47,0.83,2.87,0.12
139,World of Warcraft,PC,2004,Role-Playing,Activision,139,6,nan,0.07,6.21,0,0
140,Driver,PS,1999,Action,GT Interactive,140,nan,6,3.11,2.8,0.02,0.33
141,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,141,nan,nan,3.92,1.78,0.03,0.51
142,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,142,nan,nan,4.05,1.62,0.07,0.49
143,Gears of War,X360,2006,Shooter,Microsoft Game Studios,143,nan,10,3.54,1.9,0.07,0.6
144,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,144,5,nan,2.45,2.01,0.87,0.72
145,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,145,nan,nan,4.47,1.2,0.16,0.19
146,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,146,nan,nan,2.63,1.74,0.83,0.83
147,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,147,5,nan,3.18,1.83,0.78,0.24
148,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,148,nan,nan,2.41,2.28,0.28,1.01
149,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,149,nan,nan,1.88,0,2.33,1.74
150,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,150,nan,nan,2.8,2.05,0.17,0.9
151,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,151,nan,nan,0.66,0.69,4.35,0.15
152,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,152,nan,nan,3.66,1.63,0,0.53
153,Resident Evil 2,PS,1998,Action,Virgin Interactive,153,nan,nan,1.88,1.47,2.02,0.45
154,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,154,nan,5,2.26,1.89,1.36,0.23
155,Cooking Mama,DS,2006,Simulation,505 Games,155,nan,5,3.13,1.94,0.07,0.58
156,Destiny,PS4,2014,Shooter,Activision,156,nan,nan,2.49,2.05,0.16,0.96
157,Tetris,NES,1988,Puzzle,Nintendo,157,nan,nan,2.97,0.69,1.81,0.11
158,Assassin's Creed II,PS3,2009,Action,Ubisoft,158,nan,nan,2.54,1.95,0.21,0.87
159,Super Smash Bros.,N64,1999,Fighting,Nintendo,159,nan,nan,2.95,0.6,1.97,0.04
160,Assassin's Creed,X360,2007,Adventure,Ubisoft,160,nan,8,3.28,1.65,0.07,0.55
161,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,161,nan,nan,2.7,1.91,0.11,0.8
162,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,162,nan,nan,2.99,1.92,0.1,0.51
163,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,163,9,2,0.47,0.57,4.13,0.34
164,Super Mario Advance,GBA,2001,Platform,Nintendo,164,nan,nan,3.14,1.24,0.91,0.2
165,Exquisite Hippo Racer,nan,nan,nan,nan,165,nan,nan,nan,nan,nan,nan
166,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,166,nan,4,2.62,1.64,0.99,0.23
167,Super Mario World,GBA,2001,Platform,Nintendo,167,nan,nan,3.21,1.11,0.95,0.2
168,Pokemon Stadium,N64,1999,Strategy,Nintendo,168,nan,nan,3.18,1.24,0.94,0.09
169,Call of Duty: World at War,PS3,2008,Shooter,Activision,169,nan,nan,2.72,1.87,0,0.84
170,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,170,nan,nan,2.07,2.29,0.24,0.82
171,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,171,nan,nan,1.97,2.51,0,0.94
172,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,172,1,nan,1.74,1.24,1.87,0.52
173,Dr. Mario,GB,1989,Puzzle,Nintendo,173,nan,nan,2.18,0.96,2,0.2
174,Pokemon Pinball,GB,1999,Misc,Nintendo,174,10,2,3.02,1.12,1.01,0.16
175,Assassin's Creed III,X360,2012,Action,Ubisoft,175,nan,6,3.13,1.71,0.03,0.44
176,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,176,nan,nan,1.62,0.77,2.78,0.14
177,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,177,nan,0,1.92,1.08,2.11,0.17
178,Donkey Kong 64,N64,1999,Platform,Nintendo,178,nan,nan,3.33,0.79,1.09,0.06
179,Assassin's Creed II,X360,2009,Action,Ubisoft,179,9,nan,3.1,1.56,0.08,0.51
180,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,180,nan,nan,1.22,2.48,1.03,0.52
181,Tomb Raider II,PS,1997,Action,Eidos Interactive,181,0,nan,2.3,2.46,0.2,0.28
182,Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,182,9,nan,4.26,0.26,0.01,0.71
183,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,183,nan,nan,0.65,0.75,3.61,0.2
184,Diablo III,PC,2012,Role-Playing,Activision,184,nan,nan,2.43,2.15,0,0.62
185,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,185,nan,nan,2.93,1.25,0.83,0.2
186,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,186,nan,nan,2.32,1.3,1.27,0.31
187,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,187,5,nan,2.49,0.98,1.57,0.15
188,FIFA Soccer 13,X360,2012,Action,Electronic Arts,188,1,nan,1.08,3.48,0.03,0.58
189,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,189,1,6,1.9,1.83,0.95,0.49
190,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,190,nan,8,2.1,0.74,2.2,0.11
191,Tomodachi Life,3DS,2013,Simulation,Nintendo,191,nan,nan,0.96,2.02,1.89,0.28
192,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,192,nan,nan,1.64,2.48,0.44,0.58
193,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,193,0,nan,1.98,2.23,0.13,0.8
194,Kirby's Dream Land,GB,1992,Platform,Nintendo,194,7,nan,2.71,0.61,1.7,0.11
195,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,195,nan,nan,3.59,1.11,0.05,0.38
196,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,196,nan,nan,3.21,1.53,0.01,0.38
197,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,197,nan,nan,3.22,1.69,0,0.2
198,Guitar Hero II,PS2,2006,Misc,RedOctane,198,nan,nan,3.81,0.63,0,0.68
199,Resident Evil 5,PS3,2009,Action,Capcom,199,nan,nan,1.96,1.43,1.08,0.65
200,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,200,nan,nan,2.66,2.01,0,0.41
201,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,201,nan,0,1.7,2.02,0.16,1.21
202,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,202,nan,nan,0.6,3.29,0.06,1.13
203,Super Mario Bros.,GB,1999,Platform,Nintendo,203,nan,nan,3.4,1.3,0.15,0.22
204,Resident Evil,PS,1996,Action,Virgin Interactive,204,3,2,2.05,1.16,1.11,0.73
205,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,205,nan,nan,3.42,1.38,0.02,0.2
206,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,206,nan,nan,2.59,1.06,0.8,0.57
207,Warzone 2100,PS,1999,Strategy,Eidos Interactive,207,nan,9,2.79,1.89,0,0.33
208,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,208,nan,nan,3.36,1.36,0.07,0.21
209,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,209,nan,nan,3.06,1.18,0.29,0.46
210,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,210,nan,nan,3.49,0.01,0.01,1.48
211,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,211,nan,nan,3.39,1.03,0.09,0.44
212,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,212,nan,nan,1.85,1.2,1.54,0.37
213,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,213,7,nan,2.31,1.73,0.12,0.78
214,Madden NFL 06,PS2,2005,Sports,Electronic Arts,214,nan,nan,3.98,0.26,0.01,0.66
215,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,215,9,nan,2.89,1.54,0,0.46
216,Diddy Kong Racing,N64,1997,Racing,Nintendo,216,9,nan,2.91,0.99,0.89,0.1
217,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,217,nan,3,0,0,4.87,0
218,Dr. Mario,NES,1990,Puzzle,Nintendo,218,5,9,2.62,0.6,1.52,0.1
219,God of War III,PS3,2010,Action,Sony Computer Entertainment,219,nan,nan,2.74,1.36,0.12,0.63
220,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,220,4,2,2.56,1.68,0,0.59
221,Assassin's Creed,PS3,2007,Adventure,Ubisoft,221,nan,nan,1.91,2,0.09,0.83
222,FIFA 15,PS3,2014,Sports,Electronic Arts,222,nan,nan,0.57,3.14,0.04,1.07
223,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,223,8,nan,2.57,1.57,0.44,0.21
224,FIFA 17,PS4,2016,Sports,Electronic Arts,224,nan,nan,0.28,3.75,0.06,0.69
225,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,225,2,nan,2.99,1.31,0.04,0.41
226,Driver 2,PS,2000,Action,Atari,226,nan,nan,2.36,2.1,0.02,0.25
227,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,227,nan,10,1.73,2.19,0,0.79
228,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,228,10,nan,3.05,1.41,0.02,0.2
229,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,229,nan,nan,1.87,1.12,1.32,0.37
230,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,230,nan,nan,1.94,1.95,0.08,0.7
231,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,231,nan,nan,2.08,2.04,0.06,0.47
232,Tomb Raider,PS,1996,Action,Eidos Interactive,232,nan,nan,2.29,1.97,0.13,0.24
233,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,233,nan,5,3.06,1.12,0,0.44
234,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,234,nan,nan,2.42,0.91,1.15,0.13
235,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,235,nan,nan,2.6,0.99,0.89,0.13
236,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,236,nan,nan,1.89,1.99,0.22,0.48
237,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,237,nan,nan,1.78,1.39,1.1,0.3
238,Splatoon,WiiU,2015,Shooter,Nintendo,238,2,nan,1.55,1.15,1.44,0.43
239,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,239,nan,nan,1.78,1.87,0.07,0.82
240,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,240,nan,nan,3.19,0.92,0.01,0.42
241,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,241,nan,nan,4.18,0.26,0.01,0.08
242,Pitfall!,2600,1981,Platform,Activision,242,nan,nan,4.21,0.24,0,0.05
243,Madden NFL 07,PS2,2006,Sports,Electronic Arts,243,nan,nan,3.63,0.24,0.01,0.61
244,Spider-Man: The Movie,PS2,2002,Action,Activision,244,nan,nan,2.71,1.51,0.03,0.23
245,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,245,nan,3,0.2,0.14,4.1,0.02
246,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,246,nan,nan,1.96,1.69,0.08,0.74
247,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,247,nan,nan,1.54,1.94,0.19,0.77
248,God of War,PS2,2005,Action,Sony Computer Entertainment,248,3,nan,2.71,1.29,0.02,0.43
